City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Haapavesi,16657.0,17485.0,18086.0,18642.0,19001.0,18687.0,18890.0,19312.0,19870.0,20711.0,20838.0,21553.0
Hailuoto,17030.0,18047.0,18414.0,19230.0,19789.0,19767.0,19746.0,20493.0,21383.0,21575.0,21897.0,22634.0
Ii,17556.0,18291.0,19280.0,19519.0,19742.0,19874.0,20312.0,20892.0,21430.0,21982.0,22389.0,22768.0
Kalajoki,17300.0,18260.0,19036.0,19139.0,20029.0,19668.0,19787.0,20256.0,20969.0,21092.0,21339.0,22159.0
Kempele,21109.0,21696.0,22514.0,22548.0,22587.0,22680.0,23044.0,23618.0,24095.0,24781.0,25154.0,25918.0
Kuusamo,17007.0,17536.0,18236.0,18615.0,18922.0,19178.0,19430.0,19852.0,20233.0,20950.0,21094.0,21762.0
Kärsämäki,14927.0,15675.0,16258.0,16483.0,16737.0,17142.0,17377.0,18340.0,18671.0,18850.0,18873.0,19665.0
Liminka,21617.0,22413.0,23289.0,23278.0,23539.0,23558.0,24154.0,24287.0,24901.0,25563.0,25900.0,26548.0
Lumijoki,17176.0,18503.0,19389.0,19734.0,19819.0,20287.0,20585.0,21301.0,21689.0,22573.0,22242.0,22866.0
Merijärvi,15379.0,15750.0,16547.0,17416.0,18204.0,17445.0,17753.0,18115.0,18669.0,19413.0,19540.0,20192.0
Muhos,19038.0,19625.0,20376.0,20426.0,20745.0,20800.0,21037.0,21635.0,22223.0,22623.0,22849.0,23152.0
Nivala,17003.0,17744.0,18414.0,18856.0,19437.0,19233.0,19380.0,19948.0,20763.0,21031.0,21476.0,22181.0
Oulainen,17010.0,17851.0,18190.0,18577.0,19243.0,19319.0,19643.0,20112.0,20314.0,20649.0,20780.0,21307.0
Oulu,18964.0,19593.0,20233.0,20340.0,20345.0,20490.0,20776.0,21213.0,21658.0,22245.0,22501.0,23055.0
Pudasjärvi,14606.0,15077.0,15778.0,16175.0,16624.0,16833.0,17293.0,17680.0,18207.0,18419.0,19021.0,19628.0
Pyhäjoki,17216.0,17783.0,18609.0,18654.0,19472.0,19920.0,19975.0,20261.0,20809.0,21192.0,21483.0,22370.0
Pyhäjärvi,15318.0,15943.0,16411.0,17005.0,17721.0,17961.0,18347.0,18313.0,18850.0,19624.0,19372.0,19814.0
Pyhäntä,17696.0,17812.0,18238.0,18977.0,18931.0,19460.0,19707.0,19688.0,20656.0,20904.0,21538.0,21758.0
Raahe,18731.0,19381.0,20130.0,20100.0,20940.0,20894.0,21063.0,21470.0,21762.0,22233.0,22413.0,22940.0
Reisjärvi,15967.0,16413.0,17127.0,18154.0,17958.0,18204.0,18285.0,18659.0,19061.0,19701.0,19668.0,20222.0
Sievi,17159.0,18119.0,18938.0,18821.0,19497.0,19465.0,19647.0,19936.0,20288.0,21158.0,21542.0,22228.0
Siikajoki,17320.0,18200.0,18725.0,18941.0,19496.0,19313.0,19671.0,19970.0,20544.0,21000.0,20864.0,21778.0
Siikalatva,15515.0,15817.0,16359.0,17128.0,17322.0,17257.0,17746.0,17882.0,18536.0,18955.0,19150.0,19876.0
Taivalkoski,15222.0,15972.0,16726.0,17053.0,17349.0,17415.0,17593.0,18258.0,18739.0,19154.0,19288.0,20109.0
Tyrnävä,19480.0,20535.0,21110.0,21297.0,21786.0,21917.0,22209.0,22883.0,23071.0,23641.0,23917.0,24837.0
Utajärvi,15055.0,15651.0,16624.0,16967.0,16907.0,17251.0,17401.0,17796.0,18311.0,18772.0,19388.0,20186.0
Vaala,15230.0,15779.0,16166.0,16698.0,16930.0,17109.0,17433.0,17727.0,18087.0,18465.0,18597.0,19245.0
Ylivieska,18339.0,19205.0,19805.0,19882.0,20505.0,20489.0,20900.0,21223.0,21727.0,22220.0,22335.0,22773.0
Hyrynsalmi,14254.0,14895.0,15458.0,15698.0,15997.0,16455.0,16718.0,16908.0,17271.0,17696.0,17762.0,18409.0
Kajaani,18029.0,18664.0,19236.0,19408.0,19630.0,19819.0,20145.0,20651.0,21139.0,21770.0,22023.0,22545.0
Kuhmo,15120.0,15632.0,16483.0,16887.0,17209.0,17345.0,17509.0,18013.0,18641.0,18852.0,18870.0,19516.0
Paltamo,15523.0,16015.0,16555.0,16927.0,16889.0,17153.0,17418.0,17839.0,18355.0,18946.0,19276.0,19931.0
Puolanka,14690.0,15108.0,15766.0,16213.0,16273.0,16611.0,16795.0,16931.0,17354.0,17780.0,18236.0,18776.0
Ristijärvi,14984.0,15603.0,16404.0,16578.0,17013.0,17328.0,17875.0,18408.0,19429.0,19530.0,19230.0,19965.0
Sotkamo,17366.0,18079.0,18702.0,18958.0,19198.0,19587.0,19926.0,20315.0,20867.0,21622.0,22085.0,23023.0
Suomussalmi,15495.0,16087.0,16662.0,16971.0,17162.0,17374.0,17770.0,17990.0,18608.0,18720.0,18756.0,19201.0
Enontekiö,14671.0,15059.0,16218.0,16612.0,16942.0,17178.0,17373.0,17766.0,18276.0,19235.0,19099.0,19561.0
Inari,16882.0,17876.0,18421.0,18643.0,18860.0,19592.0,20079.0,20782.0,21354.0,22076.0,21982.0,22662.0
Kemi,16800.0,17496.0,18279.0,18600.0,18966.0,19105.0,19276.0,19742.0,20075.0,20555.0,20951.0,21318.0
Kemijärvi,16100.0,16820.0,17503.0,17975.0,18174.0,18606.0,18782.0,19148.0,19392.0,19825.0,19837.0,20361.0
Keminmaa,19549.0,20377.0,21045.0,21291.0,21386.0,21385.0,21627.0,22146.0,22363.0,23048.0,23418.0,23878.0
Kittilä,17619.0,18483.0,19538.0,19875.0,20071.0,20355.0,20906.0,21427.0,22049.0,22732.0,22687.0,23356.0
Kolari,16586.0,17023.0,17847.0,18228.0,18382.0,18833.0,19385.0,20039.0,20704.0,21481.0,21642.0,22186.0
