City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Ylöjärvi,589.0,607.0,623.0,677.0,720.0,749.0,782.0,790.0,844.0,872.0,930.0,986
Asikkala,126.0,129.0,131.0,138.0,148.0,192.0,176.0,173.0,180.0,201.0,199.0,217
Hartola,52.0,54.0,51.0,59.0,60.0,84.0,98.0,92.0,68.0,71.0,85.0,82
Heinola,550.0,587.0,605.0,613.0,648.0,662.0,672.0,696.0,732.0,771.0,783.0,826
Hollola,475.0,505.0,519.0,577.0,580.0,587.0,628.0,658.0,649.0,652.0,667.0,688
Iitti,101.0,117.0,110.0,116.0,123.0,130.0,126.0,133.0,129.0,128.0,130.0,148
Kärkölä,148.0,158.0,153.0,154.0,164.0,176.0,174.0,160.0,167.0,165.0,160.0,170
Lahti,5635.0,6094.0,6447.0,6758.0,7007.0,7664.0,8153.0,8592.0,8904.0,9248.0,9645.0,10284
Orimattila,303.0,317.0,331.0,328.0,357.0,387.0,431.0,461.0,478.0,471.0,508.0,544
Padasjoki,48.0,54.0,55.0,45.0,41.0,40.0,47.0,39.0,42.0,45.0,49.0,56
Sysmä,69.0,66.0,68.0,69.0,74.0,71.0,67.0,60.0,65.0,66.0,84.0,89
Hamina,1004.0,1056.0,1139.0,1169.0,1212.0,1222.0,1231.0,1269.0,1293.0,1315.0,1325.0,1411
Kotka,3692.0,4067.0,4412.0,4661.0,4766.0,5153.0,5077.0,5070.0,5019.0,5003.0,4997.0,4982
Kouvola,2834.0,3071.0,3247.0,3416.0,3524.0,3738.0,3669.0,3581.0,3554.0,3644.0,3685.0,3785
Miehikkälä,77.0,96.0,94.0,105.0,107.0,108.0,101.0,96.0,96.0,97.0,93.0,89
Pyhtää,122.0,138.0,153.0,159.0,165.0,209.0,188.0,183.0,184.0,204.0,237.0,263
Virolahti,182.0,221.0,216.0,229.0,230.0,210.0,196.0,200.0,188.0,191.0,190.0,184
Imatra,1159.0,1302.0,1439.0,1475.0,1561.0,1633.0,1725.0,1740.0,1734.0,1777.0,1819.0,1925
Lappeenranta,3849.0,4161.0,4436.0,4790.0,5039.0,5348.0,5453.0,5581.0,5776.0,5846.0,6073.0,6583
Lemi,69.0,74.0,75.0,66.0,66.0,76.0,77.0,72.0,76.0,88.0,86.0,82
Luumäki,127.0,144.0,141.0,145.0,138.0,146.0,152.0,161.0,166.0,171.0,172.0,210
Parikkala,94.0,98.0,102.0,102.0,104.0,103.0,100.0,106.0,103.0,107.0,107.0,117
Rautjärvi,56.0,60.0,63.0,67.0,72.0,77.0,104.0,84.0,78.0,79.0,82.0,109
Ruokolahti,88.0,90.0,97.0,106.0,127.0,132.0,146.0,159.0,163.0,165.0,167.0,165
Savitaipale,33.0,38.0,36.0,37.0,38.0,39.0,40.0,47.0,45.0,48.0,47.0,57
Taipalsaari,143.0,156.0,178.0,181.0,175.0,185.0,180.0,194.0,210.0,228.0,233.0,230
Enonkoski,35.0,34.0,26.0,28.0,31.0,37.0,34.0,40.0,41.0,42.0,45.0,48
Hirvensalmi,17.0,43.0,34.0,48.0,56.0,58.0,56.0,36.0,42.0,59.0,51.0,52
Juva,135.0,140.0,146.0,149.0,177.0,175.0,184.0,157.0,163.0,138.0,149.0,158
Kangasniemi,67.0,72.0,76.0,77.0,77.0,84.0,83.0,76.0,76.0,83.0,84.0,97
Mikkeli,1453.0,1538.0,1662.0,1725.0,1873.0,2076.0,2075.0,2177.0,2275.0,2241.0,2267.0,2411
Mäntyharju,93.0,127.0,127.0,158.0,140.0,122.0,129.0,126.0,126.0,135.0,135.0,148
Pertunmaa,27.0,24.0,28.0,32.0,63.0,54.0,60.0,39.0,40.0,35.0,31.0,42
Pieksämäki,349.0,362.0,387.0,405.0,413.0,469.0,471.0,493.0,487.0,502.0,493.0,559
Puumala,32.0,40.0,38.0,40.0,38.0,41.0,46.0,47.0,42.0,45.0,38.0,52
