City,2011_vakiluvun_muutos,2012_vakiluvun_muutos,2013_vakiluvun_muutos,2014_vakiluvun_muutos,2015_vakiluvun_muutos,2016_vakiluvun_muutos,2017_vakiluvun_muutos,2018_vakiluvun_muutos,2019_vakiluvun_muutos,2020_vakiluvun_muutos,2021_vakiluvun_muutos,2022_vakiluvun_muutos
Padasjoki,-54.0,-36.0,-54.0,-82.0,-54.0,-70.0,-46.0,-64.0,-67.0,-35.0,-48.0,-63
Sysmä,-44.0,-83.0,-39.0,-42.0,-57.0,-87.0,-94.0,-106.0,-96.0,-26.0,-47.0,-80
Hamina,3.0,-147.0,-53.0,-142.0,-210.0,-215.0,-143.0,-207.0,-175.0,-234.0,-175.0,-153
Kotka,7.0,42.0,-102.0,-253.0,-199.0,-132.0,-648.0,-656.0,-757.0,-458.0,-427.0,-624
Kouvola,-505.0,-271.0,-370.0,-473.0,-598.0,-549.0,-1110.0,-1019.0,-1064.0,-926.0,-733.0,-1025
Miehikkälä,-41.0,8.0,-32.0,-22.0,-38.0,-51.0,-42.0,-52.0,-83.0,11.0,-33.0,-44
Pyhtää,17.0,5.0,7.0,-30.0,-33.0,19.0,-76.0,-77.0,-47.0,-15.0,-6.0,-2
Virolahti,-31.0,2.0,-52.0,-36.0,-52.0,-80.0,-60.0,-57.0,-41.0,-22.0,-47.0,-55
Imatra,-68.0,-178.0,-75.0,-182.0,-202.0,-318.0,-248.0,-337.0,-424.0,-433.0,-420.0,-447
Lappeenranta,151.0,291.0,234.0,136.0,81.0,-3.0,37.0,-210.0,-65.0,28.0,-28.0,16
Lemi,4.0,-9.0,71.0,-14.0,-43.0,3.0,-13.0,-20.0,-72.0,-7.0,-47.0,-31
Luumäki,-28.0,-97.0,-30.0,-43.0,-89.0,-29.0,-84.0,-85.0,-26.0,-93.0,-70.0,-52
Parikkala,-123.0,-73.0,-82.0,-136.0,-138.0,-109.0,-157.0,-127.0,-108.0,-79.0,-88.0,-129
Rautjärvi,-105.0,-48.0,-102.0,-56.0,-89.0,-64.0,-37.0,-101.0,-109.0,-80.0,-54.0,1
