"MK12 Pohjois-Karjala"	"2024"	160107	8268	9108	5015	4901	55667	29701	25114	22333	79674	4230	4541	2527	2524	28909	14805	12604	9534	80433	4038	4567	2488	2377	26758	14896	12510	12799
"MK12 Pohjois-Karjala"	"2025"	159283	8215	8716	5041	4888	55512	28881	24886	23144	79253	4169	4414	2533	2509	28796	14435	12414	9983	80030	4046	4302	2508	2379	26716	14446	12472	13161
"MK12 Pohjois-Karjala"	"2026"	158473	8276	8286	4969	4907	55356	28174	24703	23802	78838	4205	4200	2482	2498	28714	14144	12231	10364	79635	4071	4086	2487	2409	26642	14030	12472	13438
"MK12 Pohjois-Karjala"	"2027"	157686	8290	7876	4846	5024	55227	27551	24262	24610	78434	4227	3998	2403	2555	28614	13906	11916	10815	79252	4063	3878	2443	2469	26613	13645	12346	13795
"MK12 Pohjois-Karjala"	"2028"	156903	8221	7615	4711	5046	55113	26913	23926	25358	78037	4191	3883	2352	2561	28530	13585	11732	11203	78866	4030	3732	2359	2485	26583	13328	12194	14155
"MK12 Pohjois-Karjala"	"2029"	156139	8154	7408	4594	4979	55065	26467	23411	26061	77650	4156	3790	2293	2511	28507	13364	11500	11529	78489	3998	3618	2301	2468	26558	13103	11911	14532
"MK12 Pohjois-Karjala"	"2030"	155368	8092	7319	4336	4857	54988	26171	22831	26774	77261	4126	3746	2178	2433	28460	13222	11230	11866	78107	3966	3573	2158	2424	26528	12949	11601	14908
"MK12 Pohjois-Karjala"	"2031"	154597	8034	7280	4088	4728	54834	25929	22276	27428	76875	4098	3692	2101	2385	28316	13170	10958	12155	77722	3936	3588	1987	2343	26518	12759	11318	15273
"MK13 Keski-Suomi"	"2021"	272553	16707	18633	9438	9060	102249	50831	36271	29364	135798	8592	9501	4839	4633	53177	25542	17555	11959	136755	8115	9132	4599	4427	49072	25289	18716	17405
"MK13 Keski-Suomi"	"2022"	272300	16212	18254	9491	9255	102422	49880	35886	30900	135756	8355	9246	4897	4770	53318	25079	17362	12729	136544	7857	9008	4594	4485	49104	24801	18524	18171
"MK13 Keski-Suomi"	"2023"	272014	15889	17690	9595	9409	102632	49085	35243	32471	135692	8201	8938	4976	4836	53429	24720	17077	13515	136322	7688	8752	4619	4573	49203	24365	18166	18956
"MK13 Keski-Suomi"	"2024"	271713	15768	16994	9650	9534	102583	48389	34875	33920	135607	8123	8601	4992	4917	53463	24430	16868	14213	136106	7645	8393	4658	4617	49120	23959	18007	19707
"MK13 Keski-Suomi"	"2025"	271396	15745	16247	9502	9600	102655	47839	34566	35242	135514	8049	8312	4839	4987	53542	24188	16743	14854	135882	7696	7935	4663	4613	49113	23651	17823	20388
"MK13 Keski-Suomi"	"2026"	271032	15826	15463	9281	9699	102580	47296	34686	36201	135394	8099	7904	4720	5056	53540	23885	16856	15334	135638	7727	7559	4561	4643	49040	23411	17830	20867
