City,2010_talouksien_keskikoko_te,2011_talouksien_keskikoko_te,2012_talouksien_keskikoko_te,2013_talouksien_keskikoko_te,2014_talouksien_keskikoko_te,2015_talouksien_keskikoko_te,2016_talouksien_keskikoko_te,2017_talouksien_keskikoko_te,2018_talouksien_keskikoko_te,2019_talouksien_keskikoko_te,2020_talouksien_keskikoko_te,2021_talouksien_keskikoko_te
Pedersören kunta,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7
Pietarsaari,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0
Uusikaarlepyy,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Vaasa,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Vöyri,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2
Halsua,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.1
Kannus,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2
Kaustinen,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2
Kokkola,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Lestijärvi,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1
Perho,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6
Toholampi,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.2
Veteli,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1
Alavieska,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.3,2.2
Haapajärvi,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1
Haapavesi,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2
Hailuoto,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9
Ii,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
Kalajoki,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2
Kempele,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4
Kuusamo,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0
Kärsämäki,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2
Liminka,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.0
Lumijoki,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6
Merijärvi,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5
Muhos,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4
Nivala,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3
Oulainen,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0
Oulu,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9
Pudasjärvi,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.0,2.0
Pyhäjoki,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2
Pyhäjärvi,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9
Pyhäntä,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Raahe,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1
Reisjärvi,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3
Sievi,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6
Siikajoki,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3
Siikalatva,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0
Taivalkoski,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.1
Tyrnävä,2.9,2.9,3.0,2.9,3.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8
Utajärvi,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0
Vaala,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8
Ylivieska,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Hyrynsalmi,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8
Kajaani,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9
Kuhmo,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8
